tweet_id	tweet_datetime	tweet_unixtime	artist_name	track_title	country
60	2012-02-09 01:00:12	1328745612	Tom Petty	Here Comes My Girl	GB
117	2012-02-09 01:08:12	1328746092	U2	City of Blinding Lights	GB
3	2012-03-29 02:21:01	1332980461	Van Morrison	Hey Mr DJ	GB
629	2012-02-09 02:34:38	1328751278	Yeah Yeah Yeahs	Zero	GB
652	2012-02-09 02:38:04	1328751484	Yeah Yeah Yeahs	Pin	GB
671	2012-08-01 14:41:35	1343824895	Alesana	Annabel	GR
877	2012-08-01 15:36:17	1343828177	Bob Dylan	If Not for You	GR
894	2012-08-01 15:39:39	1343828379	Bob Dylan	Day of the Locusts	GR
1003	2012-08-01 16:01:43	1343829703	Bob Dylan	Winterlude	GR
416	2012-08-01 20:56:50	1343847410	Neil Young	Powderfinger	GR
865	2012-01-20 13:29:01	1327062541	Simple Plan	No Love	GR
879	2012-01-20 13:31:29	1327062689	Simple Plan	What If	GR
923	2012-01-20 13:37:07	1327063027	Simple Plan	Holding On	GR
959	2012-01-20 13:44:42	1327063482	Adele	Rolling in the Deep	ID
63	2012-02-09 01:00:42	1328745642	AKB48	Heavy Rotation	ID
325	2012-02-09 01:42:34	1328748154	Alexisonfire	Jubella	ID
940	2012-01-20 13:40:59	1327063259	Anggun	In Your Mind	ID
507	2012-08-01 21:19:57	1343848797	Audy	Menangis Semalam	ID
690	2012-08-01 14:46:01	1343825161	Avril Lavigne	Wish You Were Here	ID
838	2012-08-01 15:28:14	1343827694	Avril Lavigne	Alice	ID
926	2012-01-20 13:37:45	1327063065	BoB feat. Bruno Mars	It Will Rain	ID
174	2012-07-30 14:45:33	1343652333	Carly Rae Jepsen	Good Time	ID
635	2012-03-29 04:12:20	1332987140	Colbie Caillat	Realize	ID
981	2012-01-20 13:46:48	1327063608	Coldplay	Paradise	ID
155	2012-07-30 14:37:09	1343651829	Coldplay	Fix You	ID
213	2012-07-30 14:53:03	1343652783	Coldplay	Fix You	ID
212	2012-03-29 03:07:14	1332983234	Cover Drive	Twilight	ID
215	2012-03-29 03:07:36	1332983256	Cover Drive	Twilight	ID
1011	2012-01-20 13:49:51	1327063791	Dewa 19	Larut	ID
849	2012-02-09 03:12:39	1328753559	Elvis	Unchained Melody	ID
